a_ast,a_ast_pct,a_blk,a_blk_pct,a_def_reb_pct,a_def_rtg,a_efg,a_fg,a_fg3,a_fg3_pct,a_fg3a,a_fg3a_per_fga_pct,a_fg_pct,a_fga,a_ft,a_ft_pct,a_ft_rt,a_fta,a_fta_per_fga_pct,a_off_rtg,a_opp_ast,a_opp_blk,a_opp_efg_pct,a_opp_fg,a_opp_fg3,a_opp_fg3a,a_opp_fg_pct,a_opp_fga,a_opp_ft,a_opp_ft_pct,a_opp_ft_rate,a_opp_fta,a_opp_orb,a_opp_pf,a_opp_pts,a_opp_stl,a_opp_tov,a_opp_tov_pct,a_opp_trb,a_orb,a_orb_pct,a_pace,a_pf,a_pts,a_stl,a_stl_pct,a_to,a_to_pct,a_trb,a_trb_pct,a_ts_pct,h_ast,h_ast_pct,h_blk,h_blk_pct,h_def_reb_pct,h_def_rtg,h_efg,h_fg,h_fg3,h_fg3_pct,h_fg3a,h_fg3a_per_fga_pct,h_fg_pct,h_fga,h_ft,h_ft_pct,h_ft_rt,h_fta,h_fta_per_fga_pct,h_off_rtg,h_opp_ast,h_opp_blk,h_opp_efg_pct,h_opp_fg,h_opp_fg3,h_opp_fg3a,h_opp_fg_pct,h_opp_fga,h_opp_ft,h_opp_ft_pct,h_opp_ft_rate,h_opp_fta,h_opp_orb,h_opp_pf,h_opp_pts,h_opp_stl,h_opp_tov,h_opp_tov_pct,h_opp_trb,h_orb,h_orb_pct,h_pace,h_pf,h_pts,h_stl,h_stl_pct,h_to,h_to_pct,h_trb,h_trb_pct,h_ts_pct,ttl_pts
16.0,45.7,6.0,9.1,77.1,92.8,0.6,35.0,5.0,0.56,9.0,0.14,0.56,62.0,31.0,0.78,0.5,40.0,0.65,119.9,14.0,2.0,0.41,30.0,6.0,15.0,0.37,81.0,16.0,0.76,0.2,21.0,11.0,31.0,82.0,9.0,13.0,12.6,29.0,7.0,28.0,88.4,23.0,106.0,7.0,7.9,17.0,17.6,44.0,60.3,0.67,14.0,46.7,2.0,3.8,72.0,119.9,0.41,30.0,6.0,0.4,15.0,0.18,0.37,81.0,16.0,0.76,0.2,21.0,0.26,92.8,16.0,6.0,0.6,35.0,5.0,9.0,0.56,62.0,31.0,0.78,0.5,40.0,7.0,23.0,106.0,7.0,17.0,17.6,44.0,11.0,22.9,88.4,31.0,82.0,9.0,10.2,13.0,12.6,29.0,39.7,0.45,188
16.0,50.0,8.0,10.7,77.4,85.3,0.42,32.0,2.0,0.29,7.0,0.09,0.41,78.0,20.0,0.62,0.26,32.0,0.41,89.4,24.0,8.0,0.38,31.0,3.0,10.0,0.36,85.0,17.0,0.65,0.2,26.0,12.0,31.0,82.0,9.0,12.0,11.1,47.0,11.0,23.9,96.2,27.0,86.0,5.0,5.2,19.0,17.1,52.0,52.5,0.47,24.0,77.4,8.0,11.3,76.1,89.4,0.38,31.0,3.0,0.3,10.0,0.12,0.36,85.0,17.0,0.65,0.2,26.0,0.31,85.3,16.0,8.0,0.42,32.0,2.0,7.0,0.41,78.0,20.0,0.62,0.26,32.0,11.0,27.0,86.0,5.0,19.0,17.1,52.0,12.0,22.6,96.2,31.0,82.0,9.0,9.4,12.0,11.1,47.0,47.5,0.42,168
22.0,66.65,3.0,4.65,77.9,92.55,0.51,33.0,4.0,0.53,7.5,0.11,0.48,68.5,20.5,0.78,0.3,26.0,0.38,97.0,20.5,7.5,0.42,30.5,3.0,12.5,0.4,76.5,23.0,0.71,0.3,32.5,9.5,24.5,87.0,9.5,15.5,14.6,35.0,6.5,19.55,93.7,28.0,90.5,5.5,5.85,22.0,21.4,40.0,53.25,0.57,14.0,42.3,6.5,10.3,80.05,95.45,0.43,32.5,3.5,0.24,13.5,0.17,0.41,79.0,19.5,0.64,0.25,30.5,0.39,88.3,21.0,3.5,0.52,35.5,6.0,12.0,0.48,74.0,18.5,0.74,0.25,25.0,7.5,29.5,95.5,9.0,23.5,21.65,41.0,11.5,25.25,99.9,25.5,88.0,8.5,8.55,22.0,18.95,41.5,50.25,0.48,183
16.0,48.5,7.0,11.1,63.0,103.4,0.43,33.0,6.0,0.32,19.0,0.23,0.4,83.0,21.0,0.81,0.25,26.0,0.31,99.1,22.0,9.0,0.45,35.0,9.0,25.0,0.4,88.0,18.0,0.67,0.2,27.0,20.0,26.0,97.0,9.0,17.0,14.5,52.0,17.0,34.7,93.8,27.0,93.0,6.0,6.4,18.0,16.0,51.0,49.5,0.49,22.0,62.9,9.0,14.1,65.3,99.1,0.45,35.0,9.0,0.36,25.0,0.28,0.4,88.0,18.0,0.67,0.2,27.0,0.31,103.4,16.0,7.0,0.43,33.0,6.0,19.0,0.4,83.0,21.0,0.81,0.25,26.0,17.0,27.0,93.0,6.0,18.0,16.0,51.0,20.0,37.0,93.8,26.0,97.0,9.0,9.6,17.0,14.5,52.0,50.5,0.49,190
27.0,71.1,5.0,8.5,67.4,85.1,0.6,38.0,3.0,0.38,8.0,0.12,0.58,66.0,22.0,0.73,0.33,30.0,0.46,119.4,14.0,4.0,0.38,25.0,3.0,11.0,0.36,70.0,19.0,0.79,0.27,24.0,14.0,30.0,72.0,6.0,22.0,21.5,37.0,8.0,25.8,84.6,24.0,101.0,10.0,11.8,13.0,14.1,37.0,50.0,0.64,14.0,56.0,4.0,6.9,74.2,119.4,0.38,25.0,3.0,0.27,11.0,0.16,0.36,70.0,19.0,0.79,0.27,24.0,0.34,85.1,27.0,5.0,0.6,38.0,3.0,8.0,0.58,66.0,22.0,0.73,0.33,30.0,8.0,24.0,101.0,10.0,13.0,14.1,37.0,14.0,32.6,84.6,30.0,72.0,6.0,7.1,22.0,21.5,37.0,50.0,0.45,173
19.5,51.1,4.5,6.35,69.85,102.1,0.44,38.5,5.0,0.29,16.5,0.18,0.41,92.5,11.5,0.72,0.12,16.0,0.17,96.35,24.5,7.0,0.43,33.5,6.0,16.0,0.4,85.0,26.0,0.75,0.31,34.5,15.0,21.5,99.0,10.0,14.5,12.65,45.5,14.0,31.1,97.0,27.5,93.5,5.5,5.65,17.0,14.45,47.5,51.1,0.47,25.0,68.05,6.0,7.7,65.15,110.95,0.44,37.0,5.0,0.34,15.0,0.17,0.42,89.5,17.5,0.74,0.19,24.5,0.27,103.0,20.0,8.0,0.49,42.5,3.0,11.5,0.48,89.0,16.0,0.7,0.18,23.0,14.0,25.0,104.0,9.0,13.0,11.6,44.0,18.0,37.55,93.9,23.5,96.5,8.5,9.15,15.5,13.45,44.0,49.9,0.49,199
29.0,72.5,6.0,10.2,82.1,89.6,0.58,40.0,5.0,0.39,13.0,0.18,0.55,73.0,15.0,0.79,0.2,19.0,0.26,110.6,19.0,4.0,0.43,26.0,6.0,8.0,0.39,67.0,23.0,0.79,0.34,29.0,7.0,20.0,81.0,8.0,19.0,19.2,29.0,5.0,18.5,90.4,23.0,100.0,12.0,13.3,17.0,17.3,37.0,56.1,0.61,19.0,73.1,4.0,6.7,81.5,110.6,0.43,26.0,6.0,0.75,8.0,0.12,0.39,67.0,23.0,0.79,0.34,29.0,0.43,89.6,29.0,6.0,0.58,40.0,5.0,13.0,0.55,73.0,15.0,0.79,0.2,19.0,5.0,23.0,100.0,12.0,17.0,17.3,37.0,7.0,17.9,90.4,20.0,81.0,8.0,8.9,19.0,19.2,29.0,43.9,0.51,181
29.0,67.4,1.0,1.5,73.8,102.9,0.52,43.0,6.0,0.55,11.0,0.12,0.49,88.0,14.0,0.88,0.16,16.0,0.18,111.3,18.0,7.0,0.47,34.0,2.0,9.0,0.46,74.0,28.0,0.7,0.38,40.0,11.0,17.0,98.0,9.0,18.0,16.4,38.0,13.0,32.5,95.3,25.0,106.0,7.0,7.3,15.0,13.6,44.0,53.7,0.56,18.0,52.9,7.0,9.1,67.5,111.3,0.47,34.0,2.0,0.22,9.0,0.12,0.46,74.0,28.0,0.7,0.38,40.0,0.54,102.9,29.0,1.0,0.52,43.0,6.0,11.0,0.49,88.0,14.0,0.88,0.16,16.0,13.0,25.0,106.0,7.0,15.0,13.6,44.0,11.0,26.2,95.3,17.0,98.0,9.0,9.4,18.0,16.4,38.0,46.3,0.54,204
19.0,52.8,4.0,7.1,83.9,108.0,0.47,36.0,4.0,0.23,17.0,0.21,0.45,80.0,9.0,0.69,0.11,13.0,0.16,93.7,17.0,4.0,0.55,33.0,4.0,8.0,0.52,64.0,28.0,0.8,0.44,35.0,5.0,22.0,98.0,6.0,18.0,18.5,37.0,9.0,22.0,90.8,32.0,85.0,5.0,5.5,16.0,15.7,35.0,48.6,0.5,17.0,51.5,4.0,6.3,78.0,93.7,0.55,33.0,4.0,0.5,8.0,0.12,0.52,64.0,28.0,0.8,0.44,35.0,0.55,108.0,19.0,4.0,0.47,36.0,4.0,17.0,0.45,80.0,9.0,0.69,0.11,13.0,9.0,32.0,85.0,5.0,16.0,15.7,35.0,5.0,16.1,90.8,22.0,98.0,6.0,6.6,18.0,18.5,37.0,51.4,0.62,183
18.0,52.9,6.0,8.0,74.4,111.9,0.52,34.0,4.0,0.31,13.0,0.19,0.49,69.0,22.0,0.65,0.32,34.0,0.49,98.3,33.0,4.0,0.54,43.0,5.0,10.0,0.51,85.0,16.0,0.52,0.19,31.0,11.0,30.0,107.0,11.0,12.0,10.8,33.0,12.0,35.3,95.6,32.0,94.0,3.0,3.1,24.0,22.2,44.0,57.1,0.56,33.0,76.7,4.0,7.1,64.7,98.3,0.54,43.0,5.0,0.5,10.0,0.12,0.51,85.0,16.0,0.52,0.19,31.0,0.36,111.9,18.0,6.0,0.52,34.0,4.0,13.0,0.49,69.0,22.0,0.65,0.32,34.0,12.0,32.0,94.0,3.0,24.0,22.2,44.0,11.0,25.6,95.6,30.0,107.0,11.0,11.5,12.0,10.8,33.0,42.9,0.54,201
